CODE;PARENT_CODE;TYPE_CODE;NAME.RU.NAME;NAME.EN.NAME;NAME.UA.NAME;EXT.YAMARKET.0;EXT.ZIP.0;LONGITUDE;LATITUDE;EXT.ZIP_LOWER
0000696745;0000028077;SUBREGION;РљСЂР°СЃРЅРѕРєР°РјСЃРєРёР№ СЂР°Р№РѕРЅ;;;;;;;
0000697348;0000696745;CITY;РљСЂР°СЃРЅРѕРєР°РјСЃРє;;;11109;617060;;;
0000697597;0000028078;CITY;РџРµРЅР·Р°;;;49;440000;;;440014,440067,440031,440047,440015,440008,440066,440018,440052,440026,440007,440028,440039,440040,440046,440003,440061,440000,440009,440011,440032,440068,440034,440042,440023,440058,440012,440044,440060,440071,440051,440004,440072,440056,440005
0000699030;0000028078;SUBREGION;РЎРїР°СЃСЃРєРёР№ СЂР°Р№РѕРЅ;;;;;;;
0000699187;0000699030;CITY;РЎРїР°СЃСЃРє;;;37121;442600;;;
0000699256;0000028078;SUBREGION;Р‘Р°С€РјР°РєРѕРІСЃРєРёР№ СЂР°Р№РѕРЅ;;;;;;;
0000699624;0000028078;CITY;Р—Р°СЂРµС‡РЅС‹Р№;;;11098;442960;;;442961,442965,442960,442962,442963,442964
0000699672;0000028078;SUBREGION;Р‘РµРєРѕРІСЃРєРёР№ СЂР°Р№РѕРЅ;;;;;;;
0000699956;0000028078;CITY;РљСѓР·РЅРµС†Рє;;;11101;442530;;;442530,442537,442550,442543,442544,442534,442539,442439,442533,442535,442500,442538,442542
0000700226;0000699956;CITY;РљСѓР·РЅРµС†Рє-8;;;;442538;;;
0000700228;0000699956;CITY;РљСѓР·РЅРµС†Рє-12;;;;442542;;;
0000700231;0000028078;SUBREGION;Р‘РµР»РёРЅСЃРєРёР№ СЂР°Р№РѕРЅ;;;;;;;
0000700250;0000700231;CITY;Р‘РµР»РёРЅСЃРєРёР№;;;11096;442250;;;
0000700733;0000028078;SUBREGION;Р‘РµСЃСЃРѕРЅРѕРІСЃРєРёР№ СЂР°Р№РѕРЅ;;;;;;;
0000701198;0000028078;SUBREGION;Р“РѕСЂРѕРґРёС‰РµРЅСЃРєРёР№ СЂР°Р№РѕРЅ;;;;;;;
0000701643;0000701198;CITY;РЎСѓСЂСЃРє;;;29652;442300;;;
0000701695;0000701198;CITY;Р“РѕСЂРѕРґРёС‰Рµ;;;20056;442310;;;
0000701847;0000028078;SUBREGION;Р’Р°РґРёРЅСЃРєРёР№ СЂР°Р№РѕРЅ;;;;;;;
0000702109;0000028078;SUBREGION;РљР°РјРµРЅСЃРєРёР№ СЂР°Р№РѕРЅ;;;;;;;
0000702236;0000702109;CITY;РљР°РјРµРЅРєР°;;;11099;141894;;;442248,442247,442240,442246,442245,442242
0000702665;0000028078;SUBREGION;Р�СЃСЃРёРЅСЃРєРёР№ СЂР°Р№РѕРЅ;;;;;;;
0000702876;0000028078;SUBREGION;Р—РµРјРµС‚С‡РёРЅСЃРєРёР№ СЂР°Р№РѕРЅ;;;;;;;
0000703275;0000028078;SUBREGION;РљР°РјРµС€РєРёСЂСЃРєРёР№ СЂР°Р№РѕРЅ;;;;;;;
0000703540;0000028078;SUBREGION;РљРѕР»С‹С€Р»РµР№СЃРєРёР№ СЂР°Р№РѕРЅ;;;;;;;
0000703964;0000028078;SUBREGION;РљСѓР·РЅРµС†РєРёР№ СЂР°Р№РѕРЅ;;;;;;;
0000704568;0000028078;SUBREGION;Р›СѓРЅРёРЅСЃРєРёР№ СЂР°Р№РѕРЅ;;;;;;;
0000704907;0000028078;SUBREGION;Р›РѕРїР°С‚РёРЅСЃРєРёР№ СЂР°Р№РѕРЅ;;;;;;;
0000705198;0000028078;SUBREGION;РњР°Р»РѕСЃРµСЂРґРѕР±РёРЅСЃРєРёР№ СЂР°Р№РѕРЅ;;;;;;;
0000705365;0000028078;SUBREGION;РќРµРІРµСЂРєРёРЅСЃРєРёР№ СЂР°Р№РѕРЅ;;;;;;;
0000705624;0000028078;SUBREGION;РќР°СЂРѕРІС‡Р°С‚СЃРєРёР№ СЂР°Р№РѕРЅ;;;;;;;
0000705868;0000028078;SUBREGION;РњРѕРєС€Р°РЅСЃРєРёР№ СЂР°Р№РѕРЅ;;;;;;;
0000706348;0000028078;SUBREGION;РќРёР¶РЅРµР»РѕРјРѕРІСЃРєРёР№ СЂР°Р№РѕРЅ;;;;;;;
